read_time,write_counts,period
1403135340000.0,7.0,1440000.0
1403136060000.0,8.0,720000.0
1403137320000.0,6.0,1260000.0
1403138640000.0,7.0,1320000.0
1403140080000.0,3.0,1440000.0
1403141640000.0,5.0,1560000.0
1403142780000.0,2.0,1140000.0
1403144100000.0,5.0,1320000.0
1403145720000.0,9.0,1620000.0
1403148120000.0,6.0,2400000.0
1403149560000.0,5.0,1440000.0
1403150580000.0,4.0,1020000.0
1403152560000.0,5.0,1980000.0
1403153580000.0,6.0,1020000.0
1403155020000.0,6.0,1440000.0
1403156640000.0,6.0,1620000.0
1403159100000.0,6.0,2460000.0
1403160060000.0,6.0,960000.0
1403161440000.0,2.0,1380000.0
1403163300000.0,6.0,1860000.0
1403166420000.0,9.0,3120000.0
1403168760000.0,7.0,2340000.0
1403170320000.0,9.0,1560000.0
1403173320000.0,5.0,3000000.0
1403174940000.0,8.0,1620000.0
1403176860000.0,6.0,1920000.0
1403177580000.0,5.0,720000.0
1403178780000.0,2.0,1200000.0
1403180220000.0,4.0,1440000.0
1403182260000.0,6.0,2040000.0
1403183820000.0,6.0,1560000.0
1403184660000.0,3.0,840000.0
1403185440000.0,6.0,780000.0
1403186220000.0,5.0,780000.0
1403187060000.0,5.0,840000.0
1403188320000.0,7.0,1260000.0
1403189040000.0,5.0,720000.0
1403189880000.0,7.0,840000.0
1403191140000.0,6.0,1260000.0
1403191860000.0,1.0,720000.0
1403192880000.0,6.0,1020000.0
1403194020000.0,7.0,1140000.0
1403194920000.0,2.0,900000.0
1403197500000.0,9.0,2580000.0
1403199420000.0,6.0,1920000.0
1403200440000.0,5.0,1020000.0
1403202600000.0,8.0,2160000.0
1403204760000.0,6.0,2160000.0
1403206440000.0,5.0,1680000.0
1403208060000.0,3.0,1620000.0
1403209260000.0,7.0,1200000.0
1403211000000.0,5.0,1740000.0
1403212020000.0,3.0,1020000.0
1403213340000.0,3.0,1320000.0
1403213940000.0,8.0,600000.0
1403214540000.0,8.0,600000.0
1403215140000.0,9.0,600000.0
1403215740000.0,7.0,600000.0
1403216460000.0,8.0,720000.0
1403217120000.0,6.0,660000.0
1403217780000.0,8.0,660000.0
1403218380000.0,6.0,600000.0
1403219220000.0,8.0,840000.0
1403220540000.0,7.0,1320000.0
1403221440000.0,6.0,900000.0
1403222280000.0,5.0,840000.0
1403223000000.0,5.0,720000.0
1403224200000.0,6.0,1200000.0
1403225700000.0,9.0,1500000.0
1403226420000.0,7.0,720000.0
1403227320000.0,8.0,900000.0
1403228640000.0,5.0,1320000.0
1403229900000.0,4.0,1260000.0
1403230800000.0,8.0,900000.0
1403232120000.0,5.0,1320000.0
1403234220000.0,3.0,2100000.0
1403235780000.0,7.0,1560000.0
1403237520000.0,9.0,1740000.0
1403240040000.0,6.0,2520000.0
1403242440000.0,8.0,2400000.0
1403243880000.0,6.0,1440000.0
1403245140000.0,7.0,1260000.0
1403246280000.0,7.0,1140000.0
1403247540000.0,9.0,1260000.0
1403248140000.0,5.0,600000.0
1403248740000.0,8.0,600000.0
1403249640000.0,8.0,900000.0
1403250360000.0,5.0,720000.0
1403251200000.0,7.0,840000.0
1403251980000.0,8.0,780000.0
1403252580000.0,9.0,600000.0
1403253180000.0,6.0,600000.0
1403253780000.0,10.0,600000.0
1403254380000.0,8.0,600000.0
1403255520000.0,5.0,1140000.0
